n,m,c,clock_cycles
128,128,1,14929
128,128,1,11019
128,128,1,11442
128,128,1,12330
128,128,1,14317
256,256,1,16677
256,256,1,19511
256,256,1,16472
256,256,1,19269
256,256,1,22012
512,512,1,34794
512,512,1,36754
512,512,1,35715
512,512,1,35888
512,512,1,39015
1024,1024,1,110465
1024,1024,1,115226
1024,1024,1,119492
1024,1024,1,120106
1024,1024,1,113104
2048,2048,1,374020
2048,2048,1,357604
2048,2048,1,371584
2048,2048,1,349511
2048,2048,1,382332
4096,4096,1,2047419
4096,4096,1,2099622
4096,4096,1,1925164
4096,4096,1,1048705
4096,4096,1,1111459
8192,8192,1,6864215
8192,8192,1,7087443
8192,8192,1,7224673
8192,8192,1,7254962
8192,8192,1,6782722
128,128,0,10287
128,128,0,7159
128,128,0,6301
128,128,0,8024
128,128,0,6037
256,256,0,14657
256,256,0,11582
256,256,0,14063
256,256,0,12426
256,256,0,12838
512,512,0,22275
512,512,0,25157
512,512,0,22165
512,512,0,25658
512,512,0,22624
1024,1024,0,65083
1024,1024,0,62873
1024,1024,0,65392
1024,1024,0,64623
1024,1024,0,68631
2048,2048,0,135048
2048,2048,0,128917
2048,2048,0,129508
2048,2048,0,132570
2048,2048,0,137086
4096,4096,0,438881
4096,4096,0,432865
4096,4096,0,462234
4096,4096,0,442127
4096,4096,0,437389
8192,8192,0,1469140
8192,8192,0,1448652
8192,8192,0,1412039
8192,8192,0,1429108
8192,8192,0,1404263
