ctt,page_type,response_time
350,small,28.77565632458234
350,small,27.4964200477327
350,small,27.807478122513924
350,small,27.98090692124105
350,small,28.246778042959427
350,medium,400.8177411536597
350,medium,519.4085733116693
350,medium,614.5878511480963
350,medium,652.938605950847
350,medium,588.9275837898037
350,large,475.9356014580802
350,large,645.5164557923313
350,large,779.880796236282
350,large,836.0110053404768
350,large,750.8998611829505
700,small,30.576822916666668
700,small,28.990234375
700,small,30.067708333333332
700,small,31.6953125
700,small,30.85182291666667
700,medium,1264.2363169897378
700,medium,1218.6763653914206
700,medium,1202.7428066225787
700,medium,1207.3254799310455
700,medium,1212.5822974366724
700,large,1590.89792198323
700,large,1528.1193002710834
700,large,1506.458056691321
700,large,1514.512232731883
700,large,1523.0635843506439
1050,small,34.474955277280856
1050,small,33.743296797100584
1050,small,33.73822648727397
1050,small,32.92397397994564
1050,small,32.870065486552754
1050,medium,1589.9063580739557
1050,medium,1808.3273314644257
1050,medium,1788.6800052639003
1050,medium,1686.99525094392
1050,medium,1618.2850482398312
1050,large,2205.648434552999
1050,large,2520.188364563321
1050,large,2494.3419594883385
1050,large,2317.655752905579
1050,large,2227.1757739042064
