timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704830072719,169,2,200,OK,TG2 2-2,text,true,,130275,115,3,11,http://192.168.1.53/2.html,84,0,70
1704830072685,213,2,200,OK,TG1 1-2,text,true,,130275,115,7,11,http://192.168.1.53/2.html,118,0,104
1704830072685,278,3,200,OK,TG1 1-1,text,true,,236294,115,8,12,http://192.168.1.53/3.docx,129,0,104
1704830072685,289,3,200,OK,TG2 2-1,text,true,,236294,115,3,13,http://192.168.1.53/3.docx,130,0,104
1704830072717,262,5,200,OK,TG1 1-4,text,true,,463401,114,9,13,http://192.168.1.53/5.pdf,86,0,72
1704830072767,254,5,200,OK,TG1 1-5,text,true,,463401,114,10,15,http://192.168.1.53/5.pdf,36,0,22
1704830072685,349,5,200,OK,TG1 1-3,text,true,,463401,114,10,15,http://192.168.1.53/5.pdf,118,0,104
1704830072915,138,2,200,OK,TG1 1-8,text,true,,130275,115,10,15,http://192.168.1.53/2.html,62,0,13
1704830072866,195,2,200,OK,TG1 1-7,text,true,,130275,115,10,15,http://192.168.1.53/2.html,113,0,17
1704830072854,263,3,200,OK,TG2 2-3,text,true,,236294,115,5,18,http://192.168.1.53/3.docx,123,0,9
1704830072967,176,3,200,OK,TG1 1-9,text,true,,236294,115,12,18,http://192.168.1.53/3.docx,38,0,13
1704830072816,331,3,200,OK,TG1 1-6,text,true,,236294,115,12,18,http://192.168.1.53/3.docx,30,0,14
1704830073017,138,2,200,OK,TG1 1-10,text,true,,130275,115,12,18,http://192.168.1.53/2.html,33,0,16
1704830072685,512,8,200,OK,TG3 3-1,text,true,,789821,114,1,19,http://192.168.1.53/8.pdf,132,0,104
1704830073065,135,2,200,OK,TG1 1-11,text,true,,130275,115,13,19,http://192.168.1.53/2.html,28,0,12
1704830072986,239,6,200,OK,TG2 2-4,text,true,,541381,114,5,20,http://192.168.1.53/6.pdf,39,0,18
1704830073118,109,2,200,OK,TG2 2-5,text,true,,130275,115,5,20,http://192.168.1.53/2.html,36,0,21
1704830073117,148,5,200,OK,TG1 1-12,text,true,,463401,114,15,22,http://192.168.1.53/5.pdf,36,0,20
1704830073165,112,3,200,OK,TG1 1-13,text,true,,236294,115,15,22,http://192.168.1.53/3.docx,37,0,20
1704830073217,145,5,200,OK,TG1 1-14,text,true,,463401,114,16,23,http://192.168.1.53/5.pdf,32,0,15
1704830073267,112,2,200,OK,TG1 1-15,text,true,,130275,115,17,24,http://192.168.1.53/2.html,22,0,12
1704830073250,206,8,200,OK,TG2 2-6,text,true,,789821,114,7,27,http://192.168.1.53/8.pdf,30,0,20
1704830073316,187,5,200,OK,TG1 1-16,text,true,,463401,114,19,28,http://192.168.1.53/5.pdf,32,0,18
1704830073384,168,2,200,OK,TG2 2-7,text,true,,130275,115,8,30,http://192.168.1.53/2.html,33,0,15
1704830073415,163,2,200,OK,TG1 1-18,text,true,,130275,115,20,30,http://192.168.1.53/2.html,42,0,19
1704830073365,229,5,200,OK,TG1 1-17,text,true,,463401,114,20,30,http://192.168.1.53/5.pdf,34,0,14
1704830073465,143,2,200,OK,TG1 1-19,text,true,,130275,115,20,30,http://192.168.1.53/2.html,48,0,24
1704830073205,475,10,200,OK,TG3 3-1,text,true,,1018880,115,2,31,http://192.168.1.53/10.pdf,38,0,18
1704830073516,165,3,200,OK,TG2 2-8,text,true,,236294,115,9,31,http://192.168.1.53/3.docx,51,0,23
