sheet,variable,mk_test,mk_pvalue,ths_slope,ths_intercept,ths_rsquare,ths_rsquare_adj,lsq_slope,lsq_intercept,lsq_rsquare,lsq_adj,rsquare_check
EXP1,nmail,no trend,0.7164,0.,297.,0.0009,0.0007,-0.0000,296.5806,0.0000,-0.0001,0.0000
EXP1,byte rec,no trend,0.2002,-4.5635,10410796.8029,0.0009,0.0008,-4.4851,10435118.0993,0.0002,0.0001,0.0002
EXP1,byte sent,decreasing,0.0435,-4.5148,9959247.528,0.0009,0.0008,-4.4914,9946087.0101,0.0004,0.0003,0.0004
EXP2,nmail,decreasing,0.0138,-0.0006,592.3937,0.0084,0.0082,-0.01,605.5258,0.0200,0.0198,0.0200
EXP2,byte rec,decreasing,0.0012,-48.2936,20890131.9914,0.0043,0.0041,-308.9113,21263600.0432,0.0126,0.0124,0.0126
EXP2,byte sent,decreasing,0.0001,-34.0631,19903064.1005,0.0127,0.0125,-294.3141,20270070.0433,0.0341,0.0339,0.0341
os1,LIN1_VmSize,increasing,0.,0.0316,738854.3948,0.7475,0.7475,0.037,737797.8815,0.8194,0.8194,0.8194
os1,LIN1_VmData,increasing,0.,0.0316,670450.3948,0.7475,0.7475,0.037,669393.9044,0.8194,0.8194,0.8194
os1,LIN1_RSS,increasing,0.,0.005,42428.8070,0.5857,0.5856,0.0058,42935.7977,0.7554,0.7553,0.7554
os1,LIN1_byte_letti_I_O,increasing,0.,4.7376,102763229.5031,0.0100,0.0098,5.5174,101738601.0675,0.0069,0.0067,0.0069
os1,LIN1_byte_letti_I_O1,no trend,0.8555,-0.0308,34500875.4723,0.003,0.0028,0.1575,34245222.1826,0.0001,-0.0002,0.0001
os2,LIN2_VmSize,increasing,0.,0.0019,735790.3761,0.4850,0.4849,0.0029,735030.9622,0.6933,0.6933,0.6933
os2,LIN2_VmData,increasing,0.,0.0019,667414.3761,0.4850,0.4849,0.0029,666654.9622,0.6933,0.6933,0.6933
os2,LIN2_RSS,increasing,0.,0.0006,42384.8545,0.0567,0.0565,0.0006,42463.3630,0.0338,0.0336,0.0338
os2,LIN2_byte_letti__sec,increasing,0.,114.5535,77733384.2378,0.7445,0.7445,117.9638,74822011.0437,0.7604,0.7603,0.7604
os2,LIN2_byte_scritti__sec,decreasing,0.0342,-0.4886,65693615.5763,0.0032,0.003,-0.334,65476532.5556,0.0002,0.0000,0.0002
os3,LIN4_VmSize,increasing,0.,0.0217,744374.5991,0.5787,0.5786,0.0252,739753.8883,0.7774,0.7773,0.7774
os3,LIN4_VmData,increasing,0.,0.0217,675970.5991,0.5787,0.5786,0.0252,671349.9377,0.7774,0.7773,0.7774
os3,LIN4RSS,increasing,0.,0.0035,45386.4710,0.5733,0.5732,0.0035,45054.0862,0.6125,0.6124,0.6125
os3,LIN4_byte_letti__sec,decreasing,0.0000,-1.8910,141291080.7714,0.0079,0.0076,-0.6896,139632950.989,0.0001,-0.0002,0.0001
os3,LIN4_byte_scritti__sec,no trend,0.0841,-0.5625,130813214.831,0.0090,0.0088,0.4561,129314758.313,0.0000,-0.0002,0.0000
VMres1,Allocated Heap,increasing,0.,0.6911,6562275.4617,0.0269,0.0268,1.1503,6296499.4359,0.0337,0.0336,0.0337
VMres2,allocated heap,increasing,0.,0.6709,5780180.5633,0.0352,0.0351,0.6750,5850817.4035,0.0248,0.0247,0.0248
VMres3,allocated heap,increasing,0.,2.9031,6041585.5564,0.1113,0.1112,1.9133,6345728.922,0.0521,0.052,0.0521
