Timestamp,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Zswap,Zswapped,Dirty,Writeback,AnonPages,Mapped,Shmem,KReclaimable,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,SecPageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,FileHugePages,FilePmdMapped,CmaTotal,CmaFree,Unaccepted,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,Hugetlb,DirectMap4k,DirectMap2M,DirectMap1G
1699520590,7419132,3671948,4508672,7072,1031408,79688,1356364,996640,961776,403828,394588,592812,32,32,4194300,2433724,387908,1745676,212,0,1309340,655136,51924,133708,328668,133708,194960,18536,48380,0,0,0,0,7903864,13034324,34359738367,91432,0,12288,0,526336,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1708432,5959680,1048576
1699520591,7419132,3351540,4181556,7992,1024812,78704,1666332,1002444,1265048,423036,401284,579408,32,32,4194300,2446204,387352,1733228,180,0,1632232,652824,52112,133708,328412,133708,194704,18760,49964,0,0,0,0,7903864,13104476,34359738367,91560,0,12288,0,831488,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1708432,5959680,1048576
1699520592,7419132,3333924,4166364,8004,1025168,75628,1603164,1086960,1272820,434188,330344,652772,32,32,4194300,2448508,387236,1730740,88,0,1653308,653864,50124,133708,328380,133708,194672,18792,50272,0,0,0,0,7903864,13104388,34359738367,91608,0,12288,0,849920,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1708432,5959680,1048576
1699520593,7419132,3509972,4343276,8012,1028292,77508,1447540,1062500,1084892,441168,362648,621332,32,32,4194300,2444604,388512,1734812,88,0,1470316,655868,51924,133708,328444,133708,194736,18936,49556,0,0,0,0,7903864,13034692,34359738367,91608,0,12288,0,667648,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1708432,5959680,1048576
1699520594,7419132,3408872,4229008,8012,1014176,88044,1562456,1042596,1210548,423692,351908,618904,32,32,4194300,2441864,388796,1737380,124,0,1578132,651308,52112,133708,328412,133708,194704,18992,49668,0,0,0,0,7903864,13088628,34359738367,91640,0,12288,0,763904,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1708432,5959680,1048576
1699520595,7419132,3326408,4147496,9296,1019604,89024,1656732,1016432,1264908,436480,391824,579952,32,32,4194300,2440992,389796,1738360,168,0,1641300,652480,57072,133684,328484,133684,194800,18760,49688,0,0,0,0,7903864,13095596,34359738367,91656,0,12288,0,823296,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1708432,5959680,1048576
1699520596,7419132,3329120,4157572,9296,1025568,86080,1639752,1032536,1261948,431200,377804,601336,32,32,4194300,2432288,392076,1746736,180,0,1634076,649136,55412,133684,328740,133684,195056,18736,49968,0,0,0,0,7903864,13092440,34359738367,91608,0,12288,0,829440,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1708432,5959680,1048576
1699520597,7419132,3337440,4143532,9304,1003208,117164,1560136,1096168,1247004,452520,313132,643648,32,32,4194300,2417952,395384,1761340,19780,0,1640796,625428,55412,133684,328492,133684,194808,18688,49680,0,0,0,0,7903864,13127396,34359738367,91544,0,12288,0,819200,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1708432,5959680,1048576
1699520598,7419132,3377904,4123956,11952,937268,190088,1575768,1034348,1252692,460684,323076,573664,32,32,4194300,2406392,398872,1772536,7496,0,1655900,599076,52340,133684,328812,133684,195128,18688,49752,0,0,0,0,7903864,13121356,34359738367,91624,0,12288,0,772096,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1708432,5959680,1048576
1699520600,7419132,3202996,3942128,18408,929976,216316,1672960,1057968,1374032,467076,298928,590892,32,32,4194300,2389952,404060,1789120,1756,128,1779928,592764,57700,133684,329116,133684,195432,19120,51016,0,0,0,0,7903864,13282176,34359738367,91952,0,12288,0,843776,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
