cluster20;cluster25;cluster30
1;1;1
6;7;8
2;3;3
5;6;7
12;15;17
13;16;18
3;4;4
12;15;17
1;1;1
12;15;17
2;3;3
15;19;22
13;16;18
1;2;2
17;21;25
7;8;10
8;10;12
12;15;17
10;12;14
6;7;9
16;20;24
16;20;24
8;10;12
8;10;12
10;13;15
17;21;25
13;17;19
8;10;12
10;12;14
12;15;17
10;12;14
15;19;22
12;15;17
14;18;20
10;12;14
13;16;18
12;15;17
3;4;4
12;15;17
3;4;4
12;15;17
11;14;16
12;15;17
12;15;17
15;19;23
2;3;3
12;15;17
4;5;5
12;15;17
4;5;6
1;1;1
5;6;7
1;2;2
2;3;3
5;6;7
5;6;7
12;15;17
5;6;7
5;6;7
5;6;7
4;5;6
1;2;2
4;5;5
13;17;19
3;4;4
13;16;18
2;3;3
5;6;7
5;6;7
5;6;7
2;3;3
5;6;7
4;5;6
5;6;7
1;1;1
1;1;1
5;6;7
5;6;7
5;6;7
2;3;3
5;6;7
2;3;3
5;6;7
1;2;2
4;5;5
5;6;7
5;6;7
5;6;7
1;2;2
1;2;2
2;3;3
12;15;17
2;3;3
2;3;3
5;6;7
2;3;3
12;15;17
5;6;7
7;9;11
1;2;2
5;6;7
1;1;1
9;11;13
4;5;6
11;14;16
1;1;1
1;2;2
5;6;7
8;10;12
1;2;2
5;6;7
5;6;7
2;3;3
5;6;7
1;1;1
5;6;7
2;3;3
2;3;3
12;15;17
5;6;7
5;6;7
5;6;7
1;1;1
2;3;3
4;5;6
1;1;1
4;5;6
5;6;7
2;3;3
14;18;21
1;1;1
2;3;3
5;6;7
4;5;5
1;1;1
8;10;12
4;5;5
4;5;5
11;14;16
13;17;19
12;15;17
8;10;12
1;1;1
13;16;18
2;3;3
1;1;1
2;3;3
1;1;1
5;6;7
5;6;7
5;6;7
5;6;7
14;18;21
4;5;5
1;1;1
2;3;3
11;14;16
7;9;11
2;3;3
4;5;6
5;6;7
5;6;7
5;6;7
1;2;2
2;3;3
5;6;7
2;3;3
4;5;5
4;5;5
12;15;17
12;15;17
16;20;24
14;18;21
12;15;17
5;6;7
2;3;3
12;15;17
12;15;17
11;14;16
10;12;14
5;6;7
5;6;7
12;15;17
4;5;5
8;10;12
2;3;3
2;3;3
5;6;7
2;3;3
5;6;7
2;3;3
4;5;5
8;10;12
11;14;16
5;6;7
5;6;7
9;11;13
5;6;7
2;3;3
5;6;7
4;5;5
12;15;17
5;6;7
5;6;7
5;6;7
1;1;1
4;5;6
5;6;7
5;6;7
1;2;2
5;6;7
2;3;3
13;17;19
1;1;1
5;6;7
4;5;5
8;10;12
5;6;7
2;3;3
4;5;5
1;2;2
10;13;15
8;10;12
11;14;16
14;18;20
2;3;3
11;14;16
5;6;7
1;2;2
4;5;5
12;15;17
4;5;6
4;5;5
12;15;17
1;2;2
8;10;12
12;15;17
5;6;7
8;10;12
12;15;17
5;6;7
4;5;5
10;13;15
3;4;4
11;14;16
17;21;25
12;15;17
5;6;7
12;15;17
4;5;5
8;10;12
12;15;17
5;6;7
4;5;5
2;3;3
13;17;19
14;18;20
4;5;5
6;7;8
6;7;8
8;10;12
14;18;20
10;13;15
12;15;17
8;10;12
5;6;7
2;3;3
2;3;3
4;5;6
12;15;17
12;15;17
5;6;7
4;5;5
3;4;4
11;14;16
12;15;17
12;15;17
17;21;25
11;14;16
1;2;2
6;7;9
11;14;16
5;6;7
11;14;16
12;15;17
5;6;7
5;6;7
2;3;3
2;3;3
12;15;17
5;6;7
5;6;7
5;6;7
1;1;1
5;6;7
12;15;17
4;5;5
13;17;19
13;17;19
4;5;6
1;2;2
2;3;3
5;6;7
5;6;7
2;3;3
2;3;3
4;5;6
5;6;7
8;10;12
4;5;5
12;15;17
1;2;2
1;2;2
2;3;3
5;6;7
2;3;3
8;10;12
3;4;4
8;10;12
12;15;17
3;4;4
10;13;15
8;10;12
8;10;12
1;2;2
1;1;1
5;6;7
2;3;3
4;5;6
1;2;2
8;10;12
5;6;7
2;3;3
2;3;3
5;6;7
5;6;7
1;2;2
1;2;2
4;5;5
4;5;6
8;10;12
11;14;16
12;15;17
12;15;17
11;14;16
2;3;3
1;1;1
2;3;3
3;4;4
12;15;17
1;2;2
5;6;7
2;3;3
5;6;7
14;18;21
4;5;5
9;11;13
4;5;5
13;17;19
13;17;19
8;10;12
10;12;14
12;15;17
1;2;2
11;14;16
2;3;3
2;3;3
1;1;1
4;5;5
4;5;5
10;13;15
8;10;12
8;10;12
3;4;4
1;2;2
12;15;17
11;14;16
5;6;7
1;2;2
12;15;17
5;6;7
2;3;3
5;6;7
4;5;6
11;14;16
2;3;3
2;3;3
5;6;7
2;3;3
12;15;17
5;6;7
5;6;7
1;1;1
2;3;3
5;6;7
5;6;7
5;6;7
5;6;7
4;5;6
12;15;17
2;3;3
5;6;7
5;6;7
5;6;7
5;6;7
2;3;3
1;2;2
5;6;7
8;10;12
5;6;7
4;5;6
12;15;17
12;15;17
5;6;7
5;6;7
5;6;7
1;2;2
12;15;17
1;2;2
5;6;7
5;6;7
2;3;3
5;6;7
4;5;6
3;4;4
12;15;17
2;3;3
5;6;7
5;6;7
1;2;2
12;15;17
5;6;7
1;2;2
4;5;6
5;6;7
12;15;17
11;14;16
4;5;5
14;18;21
6;7;9
12;15;17
1;2;2
12;15;17
2;3;3
4;5;5
12;15;17
1;1;1
11;14;16
4;5;5
12;15;17
10;12;14
1;2;2
5;6;7
1;1;1
5;6;7
5;6;7
1;2;2
4;5;5
1;1;1
12;15;17
5;6;7
4;5;6
8;10;12
5;6;7
5;6;7
5;6;7
2;3;3
4;5;5
13;16;18
4;5;5
7;8;10
8;10;12
19;24;29
10;13;15
12;15;17
10;12;14
8;10;12
12;15;17
12;15;17
18;22;27
1;2;2
14;18;20
4;5;5
8;10;12
4;5;6
2;3;3
5;6;7
5;6;7
8;10;12
1;1;1
5;6;7
4;5;6
12;15;17
10;13;15
5;6;7
2;3;3
1;1;1
11;14;16
11;14;16
4;5;5
11;14;16
2;3;3
13;17;19
5;6;7
5;6;7
12;15;17
2;3;3
1;1;1
12;15;17
4;5;5
12;15;17
12;15;17
1;2;2
5;6;7
1;1;1
1;2;2
5;6;7
1;1;1
11;14;16
1;2;2
1;1;1
2;3;3
12;15;17
12;15;17
4;5;6
2;3;3
4;5;6
1;2;2
4;5;6
8;10;12
5;6;7
5;6;7
10;12;14
11;14;16
5;6;7
1;2;2
4;5;6
8;10;12
11;14;16
10;12;14
8;10;12
1;2;2
4;5;5
12;15;17
14;18;20
2;3;3
2;3;3
1;2;2
5;6;7
11;14;16
5;6;7
5;6;7
5;6;7
5;6;7
5;6;7
12;15;17
2;3;3
1;1;1
4;5;6
10;13;15
5;6;7
4;5;6
5;6;7
4;5;6
15;19;23
5;6;7
5;6;7
5;6;7
1;2;2
12;15;17
2;3;3
5;6;7
4;5;6
12;15;17
5;6;7
13;17;19
4;5;6
11;14;16
6;7;9
12;15;17
5;6;7
2;3;3
5;6;7
5;6;7
4;5;5
2;3;3
1;1;1
5;6;7
2;3;3
8;10;12
13;17;19
1;2;2
4;5;5
8;10;12
2;3;3
5;6;7
11;14;16
8;10;12
12;15;17
4;5;6
5;6;7
5;6;7
5;6;7
4;5;6
8;10;12
3;4;4
5;6;7
4;5;6
4;5;5
14;18;21
2;3;3
1;2;2
1;2;2
5;6;7
5;6;7
5;6;7
4;5;6
12;15;17
12;15;17
5;6;7
2;3;3
12;15;17
5;6;7
5;6;7
8;10;12
5;6;7
4;5;6
13;17;19
4;5;5
4;5;5
1;2;2
13;17;19
6;7;9
7;9;11
5;6;7
2;3;3
12;15;17
8;10;12
4;5;5
11;14;16
14;18;20
6;7;9
2;3;3
1;2;2
2;3;3
1;1;1
5;6;7
5;6;7
1;1;1
