timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704898251730,36,2,200,OK,TG1 1-2,text,true,,130275,115,2,2,http://192.168.1.53/2.html,10,0,1
1704898251623,199,15,200,OK,TG1 1-1,text,true,,1385465,115,2,2,http://192.168.1.53/15.pdf,31,0,21
1704898251841,111,10,200,OK,TG1 1-1,text,true,,789821,115,3,3,http://192.168.1.53/10.pdf,6,0,1
1704898252030,142,4,200,OK,TG1 1-2,bin,true,,382875,114,4,4,http://192.168.1.53/4.png,9,0,1
1704898252127,119,4,200,OK,TG1 1-4,bin,true,,382875,114,4,4,http://192.168.1.53/4.png,13,0,6
1704898252285,52,1,200,OK,TG1 1-1,bin,true,,65167,114,5,5,http://192.168.1.53/1.png,24,0,5
1704898251929,494,19,200,OK,TG1 1-3,text,true,,2706478,115,5,5,http://192.168.1.53/19.pdf,26,0,4
1704898252328,123,5,200,OK,TG1 1-5,text,true,,463401,114,5,5,http://192.168.1.53/5.pdf,23,0,9
1704898252527,31,2,200,OK,TG1 1-6,text,true,,130275,115,6,6,http://192.168.1.53/2.html,4,0,1
1704898252683,79,1,200,OK,TG1 1-3,bin,true,,65167,114,7,7,http://192.168.1.53/1.png,16,0,6
1704898252630,163,15,200,OK,TG1 1-2,text,true,,1385465,115,7,7,http://192.168.1.53/15.pdf,4,0,1
1704898252726,265,11,200,OK,TG1 1-7,text,true,,878271,115,8,8,http://192.168.1.53/11.pdf,64,0,14
1704898253127,130,1,200,OK,TG1 1-9,bin,true,,65167,114,9,9,http://192.168.1.53/1.png,27,0,5
1704898252927,331,11,200,OK,TG1 1-8,text,true,,878271,115,9,9,http://192.168.1.53/11.pdf,11,0,5
1704898252727,652,19,200,OK,TG1 1-4,text,true,,2706478,115,10,10,http://192.168.1.53/19.pdf,28,0,13
1704898253035,532,17,200,OK,TG1 1-1,text,true,,1777155,115,11,11,http://192.168.1.53/17.pdf,33,0,12
1704898253526,170,2,200,OK,TG1 1-11,text,true,,130275,115,11,11,http://192.168.1.53/2.html,21,0,10
1704898253427,281,5,200,OK,TG1 1-6,text,true,,463401,114,11,11,http://192.168.1.53/5.pdf,18,0,7
1704898253078,795,17,200,OK,TG1 1-5,text,true,,1777155,115,12,12,http://192.168.1.53/17.pdf,20,0,10
1704898253326,569,17,200,OK,TG1 1-10,text,true,,1777155,115,12,12,http://192.168.1.53/17.pdf,21,0,15
1704898253728,207,4,200,OK,TG1 1-12,bin,true,,382875,114,13,13,http://192.168.1.53/4.png,51,0,11
1704898253680,271,8,200,OK,TG1 1-2,text,true,,602732,114,13,13,http://192.168.1.53/8.pdf,41,0,12
1704898253927,54,2,200,OK,TG1 1-7,text,true,,130275,115,13,13,http://192.168.1.53/2.html,15,0,8
1704898253927,244,10,200,OK,TG1 1-13,text,true,,789821,115,14,14,http://192.168.1.53/10.pdf,20,0,8
1704898254128,267,11,200,OK,TG1 1-14,text,true,,878271,115,15,15,http://192.168.1.53/11.pdf,23,0,15
1704898253728,717,19,200,OK,TG1 1-3,text,true,,2706478,115,15,15,http://192.168.1.53/19.pdf,24,0,11
1704898254477,88,1,200,OK,TG1 1-9,bin,true,,65167,114,16,16,http://192.168.1.53/1.png,24,0,12
1704898254227,388,10,200,OK,TG1 1-4,text,true,,789821,115,16,16,http://192.168.1.53/10.pdf,21,0,11
1704898254329,443,17,200,OK,TG1 1-15,text,true,,1777155,115,17,17,http://192.168.1.53/17.pdf,25,0,9
1704898254686,210,8,200,OK,TG1 1-1,text,true,,602732,114,17,17,http://192.168.1.53/8.pdf,19,0,8
1704898254277,690,15,200,OK,TG1 1-8,text,true,,1385465,115,18,18,http://192.168.1.53/15.pdf,20,0,7
1704898254725,338,10,200,OK,TG1 1-17,text,true,,789821,115,18,18,http://192.168.1.53/10.pdf,84,0,8
1704898254878,218,4,200,OK,TG1 1-5,bin,true,,382875,114,18,18,http://192.168.1.53/4.png,20,0,10
1704898255077,66,1,200,OK,TG1 1-6,bin,true,,65167,114,19,19,http://192.168.1.53/1.png,24,0,16
1704898254525,633,17,200,OK,TG1 1-16,text,true,,1777155,115,19,19,http://192.168.1.53/17.pdf,21,0,12
1704898255127,179,4,200,OK,TG1 1-19,bin,true,,382875,114,19,19,http://192.168.1.53/4.png,36,0,10
1704898255126,258,8,200,OK,TG1 1-10,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,20,0,10
1704898254936,570,19,200,OK,TG1 1-18,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,27,0,8
1704898255176,355,8,200,OK,TG1 1-11,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,14,0,8
1704898255327,488,19,200,OK,TG1 1-20,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,14,0,10
1704898255678,236,5,200,OK,TG1 1-12,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,20,0,10
1704898255631,415,17,200,OK,TG1 1-2,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,11,0,5
1704898256027,47,1,200,OK,TG1 1-13,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,16,0,8
1704898255978,182,5,200,OK,TG1 1-3,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,17,0,7
1704898255877,389,17,200,OK,TG1 1-7,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,79,0,4
1704898256378,114,11,200,OK,TG1 1-14,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,4,0,2
1704898256877,54,1,200,OK,TG1 1-9,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,13,0,8
1704898256628,337,19,200,OK,TG1 1-4,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,4,0,2
1704898256877,130,4,200,OK,TG1 1-15,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,13,0,8
1704898256976,213,17,200,OK,TG1 1-8,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,7,0,4
1704898257235,30,2,200,OK,TG1 1-1,text,true,,130275,115,20,20,http://192.168.1.53/2.html,4,0,1
1704898257375,80,5,200,OK,TG1 1-16,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,4,0,2
1704898257425,124,11,200,OK,TG1 1-17,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,14,0,6
1704898257578,105,10,200,OK,TG1 1-5,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,3,0,1
1704898257935,73,5,200,OK,TG1 1-18,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,4,0,2
1704898257932,108,5,200,OK,TG1 1-6,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,17,0,3
1704898257976,92,4,200,OK,TG1 1-19,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,24,0,9
1704898258125,18,1,200,OK,TG1 1-10,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,4,0,1
1704898258176,92,4,200,OK,TG1 1-11,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,3,0,1
1704898258327,16,1,200,OK,TG1 1-20,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,3,0,1
1704898258629,350,17,200,OK,TG1 1-2,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,10,0,3
1704898258876,275,11,200,OK,TG1 1-7,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,16,0,3
1704898258677,683,19,200,OK,TG1 1-12,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,5,0,3
1704898259026,384,8,200,OK,TG1 1-13,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,23,0,9
1704898258979,573,19,200,OK,TG1 1-3,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,23,0,4
1704898259378,195,4,200,OK,TG1 1-14,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,32,0,4
1704898259628,183,11,200,OK,TG1 1-4,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,3,0,1
1704898259877,11,1,200,OK,TG1 1-15,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,3,0,1
1704898259877,19,1,200,OK,TG1 1-9,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,12,0,1
1704898259977,98,5,200,OK,TG1 1-8,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,3,0,1
1704898260235,102,10,200,OK,TG1 1-1,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,5,0,2
1704898260425,72,5,200,OK,TG1 1-17,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,2,0,1
1704898260375,258,17,200,OK,TG1 1-16,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,3,0,1
1704898260577,121,4,200,OK,TG1 1-5,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,9,0,5
1704898260935,20,2,200,OK,TG1 1-18,text,true,,130275,115,20,20,http://192.168.1.53/2.html,3,0,1
1704898260928,37,2,200,OK,TG1 1-6,text,true,,130275,115,20,20,http://192.168.1.53/2.html,4,0,1
1704898260977,88,4,200,OK,TG1 1-19,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,3,0,1
1704898261125,18,1,200,OK,TG1 1-10,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,4,0,2
1704898261176,142,8,200,OK,TG1 1-11,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,4,0,2
1704898261326,270,15,200,OK,TG1 1-20,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,4,0,2
1704898261630,18,1,200,OK,TG1 1-2,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,4,0,1
1704898261679,107,10,200,OK,TG1 1-12,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,4,0,1
1704898261877,75,5,200,OK,TG1 1-7,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,4,0,1
1704898261981,38,2,200,OK,TG1 1-3,text,true,,130275,115,20,20,http://192.168.1.53/2.html,8,0,6
1704898262027,438,19,200,OK,TG1 1-13,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,4,0,2
1704898262380,116,5,200,OK,TG1 1-14,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,8,0,1
1704898262629,60,4,200,OK,TG1 1-4,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,4,0,2
1704898262878,108,8,200,OK,TG1 1-9,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,3,0,1
1704898262879,151,10,200,OK,TG1 1-15,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,13,0,0
1704898262977,127,11,200,OK,TG1 1-8,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,10,0,5
1704898263236,174,15,200,OK,TG1 1-1,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,5,0,2
1704898263377,39,1,200,OK,TG1 1-16,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,11,0,5
1704898263426,91,11,200,OK,TG1 1-17,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,3,0,1
1704898263578,182,10,200,OK,TG1 1-5,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,4,0,2
1704898263937,81,4,200,OK,TG1 1-18,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,5,0,3
1704898263929,217,15,200,OK,TG1 1-6,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,3,0,1
1704898264127,41,1,200,OK,TG1 1-10,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,13,0,7
1704898264177,104,4,200,OK,TG1 1-11,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,7,0,3
1704898263977,311,15,200,OK,TG1 1-19,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,47,0,3
1704898264330,100,10,200,OK,TG1 1-20,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,6,0,4
1704898264630,65,4,200,OK,TG1 1-2,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,4,0,2
1704898264679,26,2,200,OK,TG1 1-12,text,true,,130275,115,20,20,http://192.168.1.53/2.html,10,0,3
1704898264980,141,2,200,OK,TG1 1-3,text,true,,130275,115,20,20,http://192.168.1.53/2.html,26,0,13
1704898264878,244,17,200,OK,TG1 1-7,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,4,0,1
1704898265031,236,15,200,OK,TG1 1-13,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,20,0,6
1704898265380,32,2,200,OK,TG1 1-14,text,true,,130275,115,20,20,http://192.168.1.53/2.html,4,0,1
1704898265631,37,2,200,OK,TG1 1-4,text,true,,130275,115,20,20,http://192.168.1.53/2.html,7,0,5
1704898265879,49,4,200,OK,TG1 1-15,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,2,0,1
1704898265878,130,10,200,OK,TG1 1-9,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,34,0,1
1704898265977,131,11,200,OK,TG1 1-8,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,12,0,6
1704898266237,20,1,200,OK,TG1 1-1,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,4,0,1
1704898266426,49,5,200,OK,TG1 1-17,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,2,0,1
1704898266376,258,11,200,OK,TG1 1-16,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,4,0,2
1704898266578,92,8,200,OK,TG1 1-5,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,3,0,1
1704898266939,17,2,200,OK,TG1 1-18,text,true,,130275,115,20,20,http://192.168.1.53/2.html,3,0,1
1704898266976,133,4,200,OK,TG1 1-19,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,4,0,3
1704898266927,194,11,200,OK,TG1 1-6,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,4,0,1
1704898267126,108,11,200,OK,TG1 1-10,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,3,0,1
1704898267176,111,8,200,OK,TG1 1-11,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,10,0,5
1704898267326,87,4,200,OK,TG1 1-20,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,4,0,1
1704898267630,19,1,200,OK,TG1 1-2,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,3,0,1
1704898267677,69,5,200,OK,TG1 1-12,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,4,0,2
1704898267979,20,2,200,OK,TG1 1-3,text,true,,130275,115,20,20,http://192.168.1.53/2.html,5,0,3
1704898268027,202,10,200,OK,TG1 1-13,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,2,0,1
1704898267876,371,17,200,OK,TG1 1-7,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,4,0,2
1704898268379,29,2,200,OK,TG1 1-14,text,true,,130275,115,20,20,http://192.168.1.53/2.html,4,0,1
1704898268627,202,17,200,OK,TG1 1-4,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,4,0,2
1704898268878,119,5,200,OK,TG1 1-15,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,3,0,1
1704898268876,244,15,200,OK,TG1 1-9,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,9,0,2
1704898268977,188,8,200,OK,TG1 1-8,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,26,0,20
1704898269375,18,2,200,OK,TG1 1-16,text,true,,130275,115,20,20,http://192.168.1.53/2.html,5,0,3
1704898269235,177,10,200,OK,TG1 1-1,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,4,0,2
1704898269577,136,8,200,OK,TG1 1-5,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,5,0,2
1704898269425,369,19,200,OK,TG1 1-17,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,3,0,1
1704898269928,25,2,200,OK,TG1 1-6,text,true,,130275,115,20,20,http://192.168.1.53/2.html,4,0,1
1704898270177,212,2,200,OK,TG1 1-11,text,true,,130275,115,20,20,http://192.168.1.53/2.html,23,0,10
1704898269935,586,19,200,OK,TG1 1-18,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,7,0,2
1704898269976,610,19,200,OK,TG1 1-19,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,5,0,2
1704898270125,516,10,200,OK,TG1 1-10,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,13,0,6
1704898270326,319,5,200,OK,TG1 1-20,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,26,0,12
1704898270629,70,5,200,OK,TG1 1-2,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,12,0,6
1704898270678,111,11,200,OK,TG1 1-12,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,15,0,8
1704898270876,35,2,200,OK,TG1 1-7,text,true,,130275,115,20,20,http://192.168.1.53/2.html,4,0,1
1704898271027,73,1,200,OK,TG1 1-13,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,39,0,2
1704898270979,197,15,200,OK,TG1 1-3,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,8,0,1
1704898271378,34,2,200,OK,TG1 1-14,text,true,,130275,115,20,20,http://192.168.1.53/2.html,4,0,1
1704898271628,96,10,200,OK,TG1 1-4,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,3,0,1
1704898271878,21,2,200,OK,TG1 1-15,text,true,,130275,115,20,20,http://192.168.1.53/2.html,2,0,1
1704898271877,85,8,200,OK,TG1 1-9,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,9,0,1
1704898271977,129,8,200,OK,TG1 1-8,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,3,0,1
1704898272235,74,4,200,OK,TG1 1-1,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,4,0,2
1704898272375,72,4,200,OK,TG1 1-16,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,4,0,2
1704898272424,74,5,200,OK,TG1 1-17,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,23,0,21
1704898272577,303,19,200,OK,TG1 1-5,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,4,0,1
1704898272928,51,2,200,OK,TG1 1-6,text,true,,130275,115,20,20,http://192.168.1.53/2.html,5,0,2
1704898272935,144,11,200,OK,TG1 1-18,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,3,0,2
1704898272976,196,15,200,OK,TG1 1-19,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,9,0,5
1704898273125,59,2,200,OK,TG1 1-10,text,true,,130275,115,20,20,http://192.168.1.53/2.html,38,0,3
1704898273176,157,15,200,OK,TG1 1-11,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,7,0,3
1704898273330,208,17,200,OK,TG1 1-20,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,6,0,3
1704898273629,20,1,200,OK,TG1 1-2,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,4,0,1
1704898273677,70,4,200,OK,TG1 1-12,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,4,0,2
1704898273876,81,8,200,OK,TG1 1-7,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,4,0,2
1704898274029,51,2,200,OK,TG1 1-13,text,true,,130275,115,20,20,http://192.168.1.53/2.html,13,0,8
1704898273978,161,15,200,OK,TG1 1-3,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,4,0,2
1704898274378,43,4,200,OK,TG1 1-14,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,4,0,1
1704898274633,103,11,200,OK,TG1 1-4,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,4,0,1
1704898274876,542,19,200,OK,TG1 1-9,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,4,0,1
1704898274877,683,19,200,OK,TG1 1-15,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,5,0,1
1704898275424,140,1,200,OK,TG1 1-17,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,15,0,8
1704898274976,597,4,200,OK,TG1 1-8,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,20,0,7
1704898275375,286,8,200,OK,TG1 1-16,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,55,0,7
1704898275236,430,5,200,OK,TG1 1-1,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,38,0,20
1704898275577,130,5,200,OK,TG1 1-5,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,13,0,8
1704898275937,187,8,200,OK,TG1 1-18,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,5,0,2
1704898275927,236,15,200,OK,TG1 1-6,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,8,0,1
1704898276176,230,8,200,OK,TG1 1-11,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,13,0,7
1704898276326,98,1,200,OK,TG1 1-20,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,14,0,8
1704898276125,422,15,200,OK,TG1 1-10,text,true,,1385465,115,20,20,http://192.168.1.53/15.pdf,16,0,9
1704898275977,572,17,200,OK,TG1 1-19,text,true,,1777155,115,20,20,http://192.168.1.53/17.pdf,16,0,7
1704898276630,19,1,200,OK,TG1 1-2,bin,true,,65167,114,20,20,http://192.168.1.53/1.png,3,0,1
1704898276678,139,8,200,OK,TG1 1-12,text,true,,602732,114,20,20,http://192.168.1.53/8.pdf,3,0,1
1704898276979,160,4,200,OK,TG1 1-3,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,13,0,6
1704898276877,398,19,200,OK,TG1 1-7,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,4,0,1
1704898277027,310,11,200,OK,TG1 1-13,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,28,0,8
1704898277378,96,11,200,OK,TG1 1-14,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,3,0,1
1704898277627,103,10,200,OK,TG1 1-4,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,4,0,2
1704898277878,94,4,200,OK,TG1 1-15,bin,true,,382875,114,20,20,http://192.168.1.53/4.png,12,0,0
1704898277876,132,11,200,OK,TG1 1-9,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,4,0,2
1704898277977,71,5,200,OK,TG1 1-8,text,true,,463401,114,20,20,http://192.168.1.53/5.pdf,6,0,2
1704898278379,189,11,200,OK,TG1 1-16,text,true,,878271,115,20,20,http://192.168.1.53/11.pdf,4,0,2
1704898278235,584,19,200,OK,TG1 1-1,text,true,,2706478,115,20,20,http://192.168.1.53/19.pdf,5,0,2
1704898278578,284,10,200,OK,TG1 1-5,text,true,,789821,115,20,20,http://192.168.1.53/10.pdf,16,0,10
