r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu
0,0,0,433924,5856,34360,0,0,1019,3,155,1,0,2,97,0,0,0
1,0,0,433924,5856,34380,0,0,0,0,155,141,0,2,98,0,0,0
0,0,0,433924,5856,34380,0,0,0,0,93,85,0,2,98,0,0,0
4,0,0,427844,5872,40340,0,0,2982,8,661,235,0,25,73,2,0,0
6,0,0,423348,5872,43404,0,0,1516,0,1317,381,0,65,34,0,0,0
1,0,0,422424,5872,43404,0,0,0,0,1073,308,0,48,52,0,0,0
1,0,0,420692,5880,43408,0,0,0,8,1168,265,0,51,48,0,0,0
3,0,0,420772,5880,43408,0,0,0,0,1144,250,0,51,49,0,0,0
1,0,0,421196,5888,43412,0,0,0,6,850,228,0,37,62,1,0,0
1,0,0,421232,5888,43412,0,0,0,0,1131,263,0,51,49,0,0,0
3,0,0,419308,5888,43412,0,0,0,0,1176,261,0,57,43,0,0,0
7,0,0,420492,5896,43416,0,0,0,6,1272,246,0,57,43,0,0,0
4,0,0,420852,5896,43416,0,0,0,4,1219,327,0,57,43,0,0,0
1,0,0,420764,5904,43412,0,0,0,6,1261,306,0,57,42,0,0,0
1,0,0,420608,5904,43420,0,0,0,0,1252,311,0,61,39,0,0,0
0,0,0,421228,5904,43424,0,0,0,14,1050,276,0,46,54,0,0,0
1,0,0,420772,5912,43424,0,0,0,12,1088,296,0,45,55,1,0,0
1,0,0,420792,5912,43424,0,0,0,0,755,232,0,30,70,0,0,0
1,0,0,420464,5912,43428,0,0,0,4,1089,260,0,48,52,0,0,0
1,0,0,420884,5920,43428,0,0,0,12,1188,279,0,53,47,0,0,0
1,0,0,420384,5920,43432,0,0,0,6,1024,219,0,42,58,0,0,0
0,0,0,421128,5928,43432,0,0,0,12,1134,253,0,48,52,0,0,0
2,0,0,421024,5928,43432,0,0,0,0,844,250,0,33,67,0,0,0
1,0,0,420340,5928,43436,0,0,0,4,902,257,0,35,65,0,0,0
0,0,0,421180,5936,43436,0,0,0,12,1157,290,0,52,47,1,0,0
1,0,0,420836,5936,43440,0,0,0,4,1029,261,0,45,55,0,0,0
1,0,0,419580,5944,43444,0,0,0,12,1184,284,0,51,48,1,0,0
0,0,0,421112,5944,43448,0,0,0,0,915,230,0,36,64,0,0,0
1,0,0,420872,5944,43448,0,0,0,4,1061,291,0,46,54,0,0,0
1,0,0,419956,5952,43448,0,0,0,12,1174,277,0,51,49,0,0,0
1,0,0,420752,5952,43452,0,0,0,0,1071,250,0,48,52,0,0,0
1,0,0,420308,5960,43444,0,0,0,16,1239,298,0,53,46,1,0,0
1,0,0,419464,5960,43456,0,0,0,0,1119,249,0,49,51,0,0,0
0,0,0,419912,5960,43456,0,0,0,4,820,216,0,33,67,0,0,0
2,0,0,420844,5968,43456,0,0,0,12,1019,297,0,45,55,0,0,0
1,0,0,420400,5968,43460,0,0,0,0,931,246,0,38,63,0,0,0
1,0,0,420640,5968,43460,0,0,0,4,932,240,0,37,63,0,0,0
2,0,0,420812,5976,43464,0,0,0,12,911,272,0,38,62,1,0,0
3,0,0,419452,5976,43464,0,0,0,0,1136,273,0,47,53,0,0,0
0,0,0,419592,5984,43464,0,0,0,16,991,270,0,42,58,0,0,0
1,0,0,420460,5984,43468,0,0,0,0,986,256,0,39,61,0,0,0
1,0,0,420396,5984,43468,0,0,0,4,1134,250,0,48,51,0,0,0
0,0,0,419444,5992,43472,0,0,0,12,989,234,0,44,56,1,0,0
1,0,0,420684,5992,43476,0,0,0,0,1005,261,0,43,57,0,0,0
5,0,0,419304,5992,43476,0,0,0,4,1122,256,0,50,49,0,0,0
0,0,0,420220,6000,43480,0,0,0,12,873,252,0,35,64,0,0,0
1,0,0,420864,6000,43480,0,0,0,4,1105,272,0,48,52,0,0,0
4,0,0,420436,6008,43484,0,0,0,12,964,265,0,39,60,1,0,0
0,0,0,420936,6008,43484,0,0,0,0,828,240,0,33,67,0,0,0
1,0,0,419788,6008,43484,0,0,0,0,1215,321,0,53,47,0,0,0
1,0,0,420520,6016,43488,0,0,0,6,976,251,0,42,58,0,0,0
0,0,0,419580,6016,43488,0,0,0,0,863,241,0,34,66,0,0,0
8,0,0,420788,6024,43492,0,0,0,6,1240,339,0,60,39,1,0,0
1,0,0,419768,6024,43492,0,0,0,0,1031,303,0,45,55,0,0,0
0,0,0,420960,6024,43492,0,0,0,0,875,233,0,35,65,0,0,0
2,0,0,419400,6032,43496,0,0,0,6,889,268,0,36,64,0,0,0
2,0,0,420564,6032,43496,0,0,0,0,1141,269,0,53,47,0,0,0
0,0,0,420428,6032,43500,0,0,0,0,885,231,0,37,63,0,0,0
0,0,0,420180,6040,43500,0,0,0,6,1297,299,0,60,40,1,0,0
1,0,0,420292,6040,43500,0,0,0,0,880,236,0,36,64,0,0,0
2,0,0,420500,6048,43504,0,0,0,6,1110,259,0,51,49,0,0,0
1,0,0,420036,6048,43504,0,0,0,0,1175,295,0,49,51,0,0,0
1,0,0,420508,6048,43508,0,0,0,14,1344,281,0,63,37,0,0,0
1,0,0,420020,6056,43508,0,0,0,12,1158,274,0,48,52,1,0,0
