timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704901610343,250,10,200,OK,TG1 1-2,text,true,,789821,115,3,3,http://192.168.1.53/10.pdf,60,0,3
1704901610265,437,19,200,OK,TG1 1-1,text,true,,2706478,115,3,3,http://192.168.1.53/19.pdf,32,0,21
1704901610541,210,11,200,OK,TG1 1-3,text,true,,878271,115,4,4,http://192.168.1.53/11.pdf,57,0,5
1704901610709,146,5,200,OK,TG1 1-1,text,true,,463401,114,4,4,http://192.168.1.53/5.pdf,42,0,22
1704901610740,533,19,200,OK,TG1 1-4,text,true,,2706478,115,6,6,http://192.168.1.53/19.pdf,13,0,10
1704901610793,498,15,200,OK,TG1 1-2,text,true,,1385465,115,6,6,http://192.168.1.53/15.pdf,19,0,7
1704901611141,270,4,200,OK,TG1 1-6,bin,true,,382875,114,7,7,http://192.168.1.53/4.png,37,0,11
1704901611304,478,15,200,OK,TG1 1-1,text,true,,1385465,115,9,9,http://192.168.1.53/15.pdf,13,0,5
1704901611142,795,10,200,OK,TG1 1-3,text,true,,789821,115,9,9,http://192.168.1.53/10.pdf,27,0,10
1704901611640,323,4,200,OK,TG1 1-4,bin,true,,382875,114,10,10,http://192.168.1.53/4.png,18,0,12
1704901610945,1059,19,200,OK,TG1 1-5,text,true,,2706478,115,10,10,http://192.168.1.53/19.pdf,22,0,8
1704901611341,714,11,200,OK,TG1 1-7,text,true,,878271,115,10,10,http://192.168.1.53/11.pdf,54,0,9
1704901611741,398,5,200,OK,TG1 1-9,text,true,,463401,114,10,10,http://192.168.1.53/5.pdf,17,0,7
1704901611692,514,11,200,OK,TG1 1-2,text,true,,878271,115,11,11,http://192.168.1.53/11.pdf,15,0,7
1704901612140,174,5,200,OK,TG1 1-11,text,true,,463401,114,11,11,http://192.168.1.53/5.pdf,11,0,4
1704901611941,531,11,200,OK,TG1 1-10,text,true,,878271,115,12,12,http://192.168.1.53/11.pdf,62,0,8
1704901611540,1002,19,200,OK,TG1 1-8,text,true,,2706478,115,13,13,http://192.168.1.53/19.pdf,22,0,10
1704901612190,511,15,200,OK,TG1 1-6,text,true,,1385465,115,13,13,http://192.168.1.53/15.pdf,45,0,8
1704901612445,355,10,200,OK,TG1 1-5,text,true,,789821,115,14,14,http://192.168.1.53/10.pdf,18,0,7
1704901612491,421,10,200,OK,TG1 1-3,text,true,,789821,115,14,14,http://192.168.1.53/10.pdf,16,0,9
1704901612943,270,4,200,OK,TG1 1-15,bin,true,,382875,114,16,16,http://192.168.1.53/4.png,14,0,3
1704901612654,558,15,200,OK,TG1 1-1,text,true,,1385465,115,16,16,http://192.168.1.53/15.pdf,16,0,10
1704901612341,873,15,200,OK,TG1 1-12,text,true,,1385465,115,16,16,http://192.168.1.53/15.pdf,15,0,7
1704901612543,708,11,200,OK,TG1 1-13,text,true,,878271,115,16,16,http://192.168.1.53/11.pdf,11,0,5
1704901613143,172,4,200,OK,TG1 1-16,bin,true,,382875,114,16,16,http://192.168.1.53/4.png,27,0,11
