r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu
0,0,0,434016,5740,34400,0,0,616,2,108,0,0,1,98,0,0,0
0,0,0,434016,5740,34420,0,0,0,0,173,129,0,1,99,0,0,0
4,1,0,431244,5872,37616,0,0,1668,0,344,104,0,13,87,1,0,0
1,0,0,425676,5880,40900,0,0,1632,8,1539,404,0,69,28,3,0,0
9,0,0,423616,5880,42644,0,0,868,0,1490,334,0,68,32,0,0,0
2,0,0,423096,5880,42644,0,0,0,0,1590,339,0,70,30,0,0,0
3,0,0,422884,5888,42648,0,0,0,6,1310,280,0,52,48,0,0,0
2,0,0,421884,5888,42648,0,0,0,0,1248,292,0,47,53,0,0,0
1,0,0,421728,5896,42640,0,0,0,6,1253,281,0,48,52,0,0,0
4,0,0,421736,5896,42656,0,0,0,0,1406,299,0,59,41,0,0,0
3,0,0,420712,5896,42656,0,0,0,0,1197,271,0,49,51,0,0,0
1,0,0,420992,5904,42660,0,0,0,6,1286,323,0,52,48,0,0,0
2,0,0,420592,5904,42660,0,0,0,0,1266,356,0,58,42,0,0,0
1,0,0,420548,5904,42660,0,0,0,0,1138,289,0,52,48,0,0,0
1,0,0,421488,5912,42664,0,0,0,6,1068,291,0,46,53,1,0,0
2,0,0,421680,5912,42664,0,0,0,0,1328,323,0,65,35,0,0,0
1,0,0,421292,5920,42660,0,0,0,8,1009,339,0,44,56,0,0,0
1,0,0,421112,5920,42668,0,0,0,0,1195,315,0,52,48,0,0,0
2,0,0,420580,5920,42668,0,0,0,18,1266,323,0,55,45,0,0,0
3,0,0,421500,5928,42672,0,0,0,12,1163,305,0,52,47,1,0,0
1,0,0,420840,5928,42672,0,0,0,0,1196,322,0,52,48,0,0,0
1,0,0,421392,5928,42676,0,0,0,0,1353,292,0,61,39,0,0,0
3,0,0,420584,5936,42676,0,0,0,6,1320,311,0,60,40,0,0,0
2,0,0,421236,5936,42676,0,0,0,0,1197,289,0,51,49,0,0,0
2,0,0,420956,5944,42672,0,0,0,6,1319,352,0,59,41,0,0,0
1,0,0,421316,5944,42680,0,0,0,0,1262,316,0,55,45,0,0,0
1,0,0,421080,5944,42684,0,0,0,0,1313,323,0,60,40,0,0,0
1,0,0,420828,5952,42684,0,0,0,6,1334,316,0,64,36,0,0,0
2,0,0,420808,5952,42684,0,0,0,0,1215,331,0,61,38,0,0,0
1,0,0,421016,5952,42688,0,0,0,0,1259,328,0,59,41,0,0,0
1,0,0,420748,5960,42688,0,0,0,6,1281,323,0,63,37,1,0,0
